Count_of_sizes,Name_ of_colors,Product_code
6.0,Sedate Gray,393778_01
5.0,Poppy Pink-PUMA Gold-Matte Puma Gold-PUMA White,385849_17
5.0,PUMA Black,393051_02
4.0,PUMA White,393051_01
3.0,PUMA Black,392730_02
3.0,PUMA White-Cool Light Gray,393802_08
4.0,Ash Gray-Frosted Ivory,393049_02
1.0,PUMA White-Hot Heat,394757_01
6.0,PUMA White-Alpine Snow,387468_08
3.0,PUMA White-Alpine Snow,393772_01
4.0,PUMA Black-PUMA Gold-PUMA White,392518_02
4.0,PUMA White-Alpine Snow,392733_11
6.0,PUMA Black-PUMA Gold-PUMA White,393214_01
1.0,Frosted Ivory-PUMA White-PUMA Gold,393582_01
6.0,Spring Lavender-Vivid Violet-Warm White,395643_01
6.0,Sedate Gray,393069_02
6.0,PUMA White,393058_01
6.0,PUMA Black-Frosted Ivory,392517_01
6.0,PUMA White-Spring Fern,393767_02
5.0,PUMA White-Frosty Pink,393767_01
1.0,PUMA Black-Cool Cobalt-Pop Red,307761_01
6.0,PUMA White-Icy Blue,393112_02
6.0,Whisper White-Frosty Pink,393112_01
6.0,PUMA Black,393073_01
5.0,PUMA White-Blissful Blue-PUMA Gold,387610_08
6.0,Warm White-Frosty Pink,393124_01
6.0,PUMA Black,393060_01
5.0,Granola,390644_01
5.0,Feather Gray,390644_02
5.0,Minty Burst-Rose Dust,389894_01
1.0,Flat Dark Gray-Hibiscus Flower-PUMA White,389384_02
1.0,PUMA White-Clementine-Elektro Purple-Lily Pad-Ravish,387611_05
1.0,PUMA White-Pristine-PUMA Gold,389341_01
3.0,Puma Black,388941_01
1.0,Puma White,388941_02
3.0,PUMA Black,389457_01
1.0,PUMA Black-PUMA White-Hibiscus Flower,389425_01
3.0,Platinum Gray,389937_01
2.0,PUMA Black-Purple Charcoal-PUMA Gold,383023_10
1.0,PUMA White-Rose Dust,388963_01
1.0,Warm White-Frosted Ivory,389835_01
1.0,PUMA White-Warm White,385969_04
1.0,PUMA Black-Adriatic,385969_05
6.0,Puma White,384412_01
4.0,Puma Black,384412_02
1.0,PUMA Black-PUMA Black-Copper Rose,394277_01
1.0,PUMA Black-PUMA Gold-PUMA White,389402_01
5.0,Puma White-Pale Lemon-PRISM PINK-Lavendar Pop,387611_01
1.0,Puma Black-Puma Black-Rose Gold,386401_07
6.0,Pristine-Light Sand-Island Pink,387611_03
6.0,Puma White-Puma Black,381983_01
5.0,Puma White-Peyote,381983_02
6.0,Puma Black-Puma White-Puma Silver,370325_01
6.0,PUMA White-Rose Quartz,381983_43
5.0,Foxglove-Peachskin,370548_10
4.0,Puma Black-Puma Black,369143_01
2.0,Puma Black-Puma Silver,371125_01
2.0,Puma Black-Puma White,380686_02
1.0,Puma White-Marshmallow,372104_01
1.0,Puma White-Puma White,369143_02
1.0,Rosewater,371734_02
,"Puma White-Puma White
: Sold Out",370548_02
4.0,PUMA Navy-Future Pink-PUMA White,395002_06
5.0,Pale Grape-PUMA White,392815_01
6.0,Eggshell Blue-PUMA White,392815_02
5.0,Future Pink-Frosted Ivory-PUMA White,395002_05
5.0,Vivid Violet-Purple Pop-PUMA White,394923_02
1.0,PUMA Black-Peach Smoothie-PUMA White,394923_01
6.0,PUMA Black-PUMA Gold-Ash Gray,378754_01
4.0,Future Pink-PUMA White-PUMA Black,378788_02
5.0,Foxglove-Puma White,386914_02
4.0,Eggshell Blue-Puma White,386914_01
6.0,PUMA Black-Future Pink-PUMA White,379071_01
6.0,Warm White-PUMA Copper-PUMA White,376542_16
4.0,Puma Black-Puma White-Puma Team Gold,377038_01
5.0,Puma Black-Puma Team Gold,376960_01
4.0,Future Pink-Rose Gold-Frosty Pink,378787_03
4.0,Warm White-Rose Gold,378789_02
3.0,Warm White-Alpine Snow-PUMA Gold,378782_02
3.0,Carnation Pink-Puma White-PUMA Silver,377038_02
2.0,Puma White-Puma Silver,386390_02
2.0,PUMA Black-PUMA Gold-Puma White,378789_01
1.0,Puma Black-Puma Team Gold,195161_05
2.0,PUMA Black-Future Pink-Frosty Pink-PUMA White,378788_01
4.0,PUMA Black-PUMA Gold,378782_01
5.0,PUMA Black-Koral Ice-PUMA White,376542_17
6.0,Future Pink-PUMA White-Frosty Pink,379071_02
6.0,PUMA Black-Icy Blue-PUMA White-PUMA Silver,378787_02
3.0,PUMA Black-Loveable-PUMA White,377038_04
1.0,Pristine-Rose Gold,389281_03
6.0,Wood Violet-Ravish-PUMA White,376542_13
,"PUMA Black-PUMA Silver
: Sold Out",395002_01
4.0,PUMA White-Matte Silver-PUMA Silver,389294_02
2.0,PUMA Navy-Rose Dust-PUMA White,376542_14
1.0,Pristine-Heartfelt-PUMA White,395002_04
1.0,PUMA Black-PUMA Gold-PUMA White,389294_01
