Count_of_sizes,Name_ of_colors,Product_code
9.0,Black/White/Metallic Red Bronze,FB7150-001
,,
9.0,Black/Guava Ice/Orange/Black,FN6594-002
13.0,Black/Clear Jade/White,DZ9360-008
12.0,Cool Grey/Anthracite/Summit White/Stadium Green,921826-020
10.0,Black/Diffused Blue/White/Metallic Red Bronze,FB7147-001
1.0,White/Wolf Grey/True Red,414571-160
13.0,Deep Jungle/Geode Teal/Black/Safety Orange,DO7625-300
5.0,White/White/White,CZ7836-100
10.0,Diffused Blue/Ashen Slate/White/Metallic Gold,FB8502-400
9.0,Oil Green/Olive Aura/Phantom/Oil Green,FN4190-300
13.0,Mica Green/Black/Clear Jade/White,DM0829-301
12.0,Black/Black/White/University Red,DO1925-003
11.0,University Red/Midnight Navy/Blue Joy/Sea Glass,DV7480-600
7.0,Black/College Grey/Sail/Gym Red,BQ6472-060
12.0,White/Black,DX4361-100
13.0,Thunder Grey/Desert Sand/Total Orange/Black,AH8050-024
5.0,Rugged Orange/Rugged Orange,DX4816-800
9.0,Black/Coconut Milk/Bright Crimson/White,FN1187-001
10.0,Pink Foam/White,DR2670-600
15.0,White/Vivid Sulphur/Track Red/Black,DX9025-101
3.0,White/Particle Grey/Metallic Silver/Dark Smoke Grey,DV4130-100
10.0,Diffused Blue/Ashen Slate/White/Metallic Red Bronze,DR2698-400
17.0,White/Reflect Silver/Industrial Blue/White,FV0383-100
9.0,Black/White/Metallic Red Bronze,FB7150-001
,,
9.0,Black/Guava Ice/Orange/Black,FN6594-002
13.0,Black/Clear Jade/White,DZ9360-008
12.0,Cool Grey/Anthracite/Summit White/Stadium Green,921826-020
10.0,Black/Diffused Blue/White/Metallic Red Bronze,FB7147-001
1.0,White/Wolf Grey/True Red,414571-160
13.0,Deep Jungle/Geode Teal/Black/Safety Orange,DO7625-300
5.0,White/White/White,CZ7836-100
10.0,Diffused Blue/Ashen Slate/White/Metallic Gold,FB8502-400
9.0,Pale Ivory/Luminous Green/High Voltage/Neutral Olive,DJ7929-101
13.0,White/Black/Stadium Green,DM9537-105
7.0,Black/White,DR5540-002
9.0,Luminous Green/Sea Glass/Lime Blast/White,DV3975-301
11.0,Summit White/Metallic Silver/Bronzine,DV3808-101
15.0,Wolf Grey/Smoke Grey/White,DM0103-010
13.0,White/Action Green/Light Lemon Twist/Black,DD1579-105
,,
9.0,Black/Alabaster/Sail,FB6877-001
18.0,Light Bone/Cobblestone/Gum Light Brown/Light Bone,DR0508-001
9.0,Black/Anthracite/Volt/Vivid Purple,DH3393-007
15.0,White/Pure Platinum/Black,DX0127-100
11.0,Phantom/Metallic Red Bronze/Fireberry/Phantom,DH3161-003
13.0,Black/Barely Volt/Black,DJ6258-001
7.0,White/Lucky Green/Cement Grey/Varsity Red,CK9246-136
1.0,Black/White/Cool Grey,848386-001
7.0,White/Black/Coconut Milk/University Red,FD4849-106
6.0,Sail/Siren Red/Sundial/Metallic Silver,FN7683-133
13.0,University Red/White/Football Grey/Black,DV3949-600
8.0,Pink Foam/Pink Oxford/Platinum Tint/White,DX6482-600
11.0,White/Metallic Silver/Black,FZ0637-100
7.0,Black/Off-Noir,DJ7884-002
1.0,Summit White/Black/White/Medium Olive,CK2944-101
1.0,Black/Iron Grey/Dark Smoke Grey/White,DD9291-001
11.0,Rattan/Limestone/Medium Olive/Neutral Olive,FD6409-201
13.0,White/Sea Glass/Blue Joy/University Red,FB1276-100
13.0,White/Photo Blue/Black,DJ5590-103
5.0,Sand Drift/Phantom/Metallic Gold,BQ4632-108
4.0,Earth/Earth,DM0886-200
8.0,Black/Anthracite/Volt/White,FB2197-001
13.0,White/Clear Jade/Light Ultramarine/Deep Jungle,DJ6566-103
8.0,University Red/University Red/Black,CN9675-600
,Baroque Brown/Baroque Brown,BQ4639-202
,Black/Chile Red/Hyper Royal/Anthracite,CV1754-001
11.0,Black/White/Fireberry/Metallic Gold,DD9283-011
7.0,Black/Anthracite/White,FN1139-001
11.0,White/Summit White/White,CZ0294-100
8.0,Black/Medium Ash/Gum Light Brown/Black,FB9894-001
13.0,Black/Dark Smoke Grey/Volt/White,DM1106-001
,Black/Neutral Olive/Black,DZ5320-001
14.0,Black/Black/Black/Black,CN8490-003
13.0,Pure Platinum/Black/Sport Red/White,FD9081-001
13.0,White/Light Photo Blue/Sail/Black,DM4044-100
4.0,Sundial/Monarch/White,DR6192-700
7.0,Team Gold/Sail/Dark Smoke Grey,DN3253-700
10.0,Light Soft Pink/Pink Oxford/Desert Berry/Black,AH6789-604
8.0,Black/Iron Grey/White,FN7991-001
12.0,Black/White,FB2208-003
11.0,Wolf Grey/Team Red/White/Wolf Grey,FD3598-001
9.0,White/Summit White/Coconut Milk/Bright Crimson,DZ1637-102
3.0,Oil Green/Summit White/Light Silver/Honeydew,FB4496-300
11.0,Black/Fire Red/Sail/Cement Grey,DR8884-001
6.0,Black/Anthracite/Black,CI8798-003
10.0,Deep Jungle/Black/White/Metallic Silver,DV3854-301
13.0,Teal Nebula/Geode Teal/White,DR6966-300
12.0,White/White/Black/Black,DH9227-101
12.0,White/University Red/White/Midnight Navy,FD0268-100
10.0,Hyper Pink/Opti Yellow/Green Strike/Sail,FQ8172-645
10.0,Monarch/Light Bone/Sail/Black,DR9761-800
11.0,Black/Black/Anthracite,DV6840-001
10.0,Bordeaux/Black/Volt/Vivid Purple,DV3950-601
13.0,Pure Platinum/White/Black/University Red,DM1120-010
5.0,White/White/Black,DC0496-100
,Black/Metallic Silver,DC9835-005
8.0,Fir/Earth/Deep Royal Blue/Fir,FB2348-300
9.0,White/Pure Platinum/Metallic Silver,FD2292-100
12.0,Summit White/Sand Drift/Sail/Black,FD2196-100
10.0,Black/Black/White,FZ0628-010
3.0,Hemp/Hemp,FD5131-200
8.0,Pearl Pink/White,DV1238-601
13.0,Black/Off-Noir,FB8501-001
9.0,Black/Diffused Blue/Football Grey/Metallic Red Bronze,DD9294-010
11.0,Wolf Grey/Team Red/White/Wolf Grey,FD3598-001
9.0,White/Summit White/Coconut Milk/Bright Crimson,DZ1637-102
3.0,Oil Green/Summit White/Light Silver/Honeydew,FB4496-300
11.0,Black/Fire Red/Sail/Cement Grey,DR8884-001
6.0,Black/Anthracite/Black,CI8798-003
10.0,Deep Jungle/Black/White/Metallic Silver,DV3854-301
13.0,Teal Nebula/Geode Teal/White,DR6966-300
12.0,White/White/Black/Black,DH9227-101
12.0,White/University Red/White/Midnight Navy,FD0268-100
10.0,Hyper Pink/Opti Yellow/Green Strike/Sail,FQ8172-645
10.0,Monarch/Light Bone/Sail/Black,DR9761-800
11.0,Black/Black/Anthracite,DV6840-001
10.0,Bordeaux/Black/Volt/Vivid Purple,DV3950-601
13.0,Pure Platinum/White/Black/University Red,DM1120-010
5.0,White/White/Black,DC0496-100
,Black/Metallic Silver,DC9835-005
8.0,Fir/Earth/Deep Royal Blue/Fir,FB2348-300
9.0,White/Pure Platinum/Metallic Silver,FD2292-100
12.0,Summit White/Sand Drift/Sail/Black,FD2196-100
10.0,Black/Black/White,FZ0628-010
3.0,Hemp/Hemp,FD5131-200
8.0,Pearl Pink/White,DV1238-601
13.0,Black/Off-Noir,FB8501-001
9.0,Black/Diffused Blue/Football Grey/Metallic Red Bronze,DD9294-010
7.0,Black/Black/Varsity Red/White,FV0393-001
13.0,Sea Glass/University Red/White/Blue Joy,DD0204-009
11.0,Black/White,FN0881-001
,Safety Orange/Safety Orange,DX5575-800
12.0,Black/Anthracite/Volt/White,CT2405-001
10.0,Bordeaux/Vivid Purple/Volt/Black,DZ2537-603
13.0,Black/Volt/Black/White,DV7775-001
13.0,Phantom/Black/Dark Russet/Phantom,FB8894-002
