Count_of_sizes,Name_ of_colors,Product_code
0.0,CAMEL,FGC0G2030171A
6.0,ARMY,FGC0150S0032A
4.0,GREY,FGC0Z7041542A
3.0,DGREEN,FGC028030281A
1.0,GREY,FGC0H40U8442A
0.0,NAVY,FGC031039112A
6.0,DNAVY,FGC089024571A
6.0,WHITE,FGC0H40U8012A
4.0,NAVY,FGC0Z7041632A
4.0,NAVY/BROWN,FGC0150S0042A
3.0,CASHEW BROWN,FGC0L4037411A
3.0,WHITE,FGC031039122A
1.0,GREY,FGC0Y9040752A
3.0,BROWN,FGC051019771A
5.0,SNAYPE,FGC0AR025091A
3.0,LBROWN/WHITE,FGC0510S0102A
4.0,SNAYPE,FGC0AR025131A
5.0,BLACK,FGC0AJ024991A
5.0,WHITE,FGC0H40U8002A
1.0,NAVY/GREY,FGC0510T7812A
4.0,BLACK/APPLE GREEN,FGC0Y9040922A
5.0,BLACK,FGC0Y9040732A
3.0,GREY,FGC0510R2042A
4.0,BLUE,FGC0510T7052A
1.0,GREY/OWHITE,FGC0Y9040392A
3.0,LGREY,FGC0510R2002A
5.0,BLACK,FGC0Y9039162A
1.0,NAVY,FGC0Z7040132A
2.0,RBLUE,FGC051019021A
3.0,NAVY,FGC0Y9040762A
1.0,DNAVY,FGC0GF0R6821Z
4.0,GREY/RED,FGC0Y9040902A
2.0,NAVY,FGC0Y9040372A
4.0,GREY,FGC0180T0592A
5.0,NAVY,FGC0Z7040082A
1.0,BLUE,FGC0H40U8422A
3.0,WHITE,FGC0Y9040772A
0.0,BLACK,FGC0Z7041592A
4.0,NAVY,FGC031039102A
2.0,NAVY,FGC0H40W7082A
1.0,BLACK,FGC0DN032122A
2.0,WHITE,FGC0Z7041622A
2.0,NAVY/WHITE,FGC0Y9040952A
3.0,GREY,FGC0Z7045232A
1.0,RED/NAVY,FGC0Y9032772A
1.0,BLACK,FGC0H4020401A
3.0,GREY,FGC0Y9039172A
4.0,BLACK,FGC0Z7041652A
0.0,OLIVE,FGC0Z7039792A
3.0,GREY,FGC0C30V0672A
3.0,NAVY,FGC0510S0062A
1.0,WHITE,FGC0Z7040102A
2.0,GREY,FGC0260U3112A
1.0,BLUE,FGC0H40U8432A
1.0,NAVY,FGC0Y9040812A
2.0,OLIVE/BLACK,FGC0Y9032762A
,,FGC0Y9040382A
1.0,BLACK,FGC0Y9037612A
0.0,NAVY,FGC0Z7041562A
0.0,PARIS KHAKI,FGC0L4033131A
0.0,WHITE,FGC0Z7041572A
0.0,OLIVE/BLACK,FGC0Y9032092A
2.0,WHT/RED/YLO,FGC0Z7041532A
0.0,DGREY,FGC0DN032132A
0.0,BLACK,FGC051022081B
3.0,GREY/GREEN,FGC0EM0S0162A
2.0,GREY,FGC0DY0T7782A
0.0,BLACK,FGC0H9030001A
1.0,LKHAKI,FGC0260U2742A
0.0,GREY,FGC0510R2052A
1.0,DGREY/ORANGE,FGC0Y9040942A
1.0,BROWN,FGC0DY0S0082A
1.0,BROWN,FGC0H40W7062A
0.0,GREY/BLACK,FGC0Y9032142A
1.0,TAUPE,FGC0150S0122A
2.0,BLACK,FGC0Z7041552A
2.0,BLACK,FGC0180V6822A
0.0,NAVY,FGC0Y9032792A
5.0,DNAVY,FGC0GF0R8041Z
5.0,DNAVY 4,FGC0GF0R7661Z
5.0,DNAVY,FGC015035011A
3.0,RB BROWN,FGC090035001A
3.0,DUBAI KHAKI,FGC0H9034921A
3.0,BLACK,FGC0GC0R7741Z
7.0,NAVY,FGC015050011A
4.0,BLACK,FGC0GS0R7401Z
0.0,OLIVE GREEN,FGC015034911A
5.0,DUBAI KHAKI,FGC051044461A
3.0,CAMEL,FGC051036081A
2.0,DUBAI KHAKI,FGC0GF0R8161Z
7.0,CAMEL,FGC0FK050031A
7.0,NAVY,FGC015050041A
0.0,RB BROWN,FGC0AA033111A
3.0,OLIVE GREEN,FGC0L8040001A
7.0,CAMEL,FGC015050051A
7.0,OLIVE GREEN,FGC015050151A
4.0,CASHEW BROWN,FGC015035091A
5.0,KHAKI,FGC015027061A
0.0,DUBAI KHAKI,FGC0H9034961A
7.0,BLACK,FGC015050201A
0.0,NAVY,FGC015027091A
5.0,CAMEL,FGC015034971A
7.0,CAMEL,FGC0510AR842A
7.0,GREY,FGC0H9050021A
