Count_of_sizes,Name_ of_colors,Product_code
4,NAVY/GREY,232626-NVGY
4,OOLIVE,232626-OLV
0,OFF WHITE,183010-OFWT
4,BROWN,183186-BRCK
4,CHARCOAL/RED,237300-CCRD
0,BBBBLACK,237300-BLK
0,NNNAVY,237300-NVY
3,BLACK/CHARCOAL,237300-BKCC
1,BLACK/WHITE,220389-BKW
2,NNNAVY,220389-NVY
5,BBLACK,220359-BBK
7,TTAUPE,220359-TPE
1,BBBBLACK,216278-BLK
1,BBBBLACK,216278-BLK
4,NNNAVY,216278-NVY
4,NNNAVY,216278-NVY
4,GGREY/BLACK,220185-GYBK
2,BROWN,220185-BRN
3,DARK GREY,216491-DKGY
3,DARK GREY,216491-DKGY
4,NNNAVY,216491-NVY
1,NAVY/ORANGE,220336-NVOR
5,BLACK/LIME,220336-BKLM
6,BLACK/WHITE,229142-BKW
4,NNNAVY,229142-NVY
4,NNNAVY,216491-NVY
4,NNNAVY,232450-NVY
5,BBURGUNDY,232450-BURG
7,CCHARCOAL,216259-CHAR
0,BBLACK,216259-BBK
1,NNNAVY,232456-NVY
0,BBLACK,232456-BBK
3,BBLACK,220338-BBK
8,NNNAVY,220338-NVY
1,NAVY/ORANGE,216562-NVOR
6,GREY,216562-GRY
4,CCHARCOAL,216126-CHAR
0,TTAUPE,216126-TPE
0,NNNAVY,216126-NVY
6,BBLACK,216126-BBK
7,BBLACK,246021-BBK
5,WWWHITE,246021-WHT
3,BLACK/WHITE,232504-BKW
6,NNNAVY,232504-NVY
2,BBLACK,232504-BBK
3,TTAUPE,216267-TPE
8,NNNAVY,216267-NVY
5,BLACK/WHITE,216527-BKW
4,GREY/RED,216205-GYRD
6,NAVY/ORANGE,216205-NVOR
4,TTAUPE,216205-TPE
0,BBLACK,216205-BBK
4,NNNAVY,216401-NVY
6,CCHARCOAL,216401-CHAR
1,BLACK/WHITE,216401-BKW
1,NNNAVY,210058-NVY
4,BBLACK,216116-BBK
0,CHARCOAL/ORANGE,216116-CCOR
0,NAVY/GOLD,216116-NVGD
5,NAVY/ORANGE,216527-NVOR
2,BBLACK,232318-BBK
2,CHARCOAL/BLACK,232318-CCBK
4,BLACK/WHITE,232318-BKW
4,NAVY/GREY,232318-NVGY
5,NATURAL/GREY,232318-NTGY
8,BBLACK,220223-BBK
5,GREY,220223-GRY
3,BBLACK,232591-BBK
5,NAVY/BLACK,232591-NVBK
4,BBLACK/MULTI,232219-BMLT
0,BLACK/MULTI,232219-BKMT
0,NATURAL/MULTI,232219-NTMT
2,BLACK/BLUE,246075-BKBL
4,LIME,246075-LIME
4,WHITE/MULTI,220825-WMLT
5,NAVY/MULTI,220825-NVMT
1,BBBBLACK,204350-BLK
3,BLACK/GREY,229022-BKGY
2,NNNAVY,229022-NVY
7,BBLACK,229022-BBK
3,BBBBLACK,204346-BLK
1,DARK BROWN,204346-CDB
7,BROWN,229022-BRN
2,BLACK/BLUE,216244-BKBL
6,BBBBLACK,237256-BLK
6,TEAL/BLACK,232634-TLBK
3,NAVY/ORANGE,232321-NVOR
6,BBBBLACK,232321-BLK
2,OOLIVE,232321-OLV
1,WHITE/RED/NAVY,237350-WRNV
4,NATURAL/BLACK,237482-NTBK
5,BLACK/WHITE,237482-BKW
1,CHOCOLATE/BLUE,216189-CHBL
4,BLACK/WHITE/RED,216189-BKWR
6,LIME/BLACK,232661-LMBK
6,TEAL,232661-TEAL
0,GREY,232661-GRY
2,OOLIVE,216123-OLV
0,BBLACK,216123-BBK
5,NNNAVY,216123-NVY
3,GREY,216123-GRY
6,BLUE/ORANGE,232664-BLOR
5,BLACK/LIME,232664-BKLM
5,NNNAVY,237259-NVY
5,NAVY/LIME,237259-NVLM
2,NNNAVY,232325-NVY
0,CCHARCOAL,232325-CHAR
5,MMULTI,237486-MULT
0,WHITE YELLOW,237486-WYL
5,LIME,220351-LIME
4,CHARCOAL/ORANGE,220351-CCOR
5,GREY/BLUE,220351-GYBL
1,RED/BLACK,232384-RDBK
0,BBLACK,232384-BBK
0,OFF WHITE,232384-OFWT
1,CHARCOAL/ORANGE,232384-CCOR
3,OOLIVE,118000-OLV
